float_id,date,latitude,longitude,depth,temperature,salinity,pressure,oxygen,pH,conductivity,region
1,2023-01-01,-15.055,71.338,200,29.88,37.48,3746.4,3.73,7.69,4.15,Pacific Ocean
2,2023-01-02,54.086,12.995,1000,29.19,38.12,1458.0,4.39,8.39,4.38,Indian Ocean
3,2023-01-03,27.839,-68.57,100,18.81,36.56,2535.4,7.52,8.25,3.91,Arabian Sea
4,2023-01-04,11.839,112.966,500,4.39,31.28,2824.9,7.96,8.41,5.8,Pacific Ocean
5,2023-01-05,-41.278,66.503,10,19.77,33.38,2476.2,2.27,8.26,3.36,Bay of Bengal
6,2023-01-06,-41.281,-121.458,500,0.31,39.28,1484.1,6.57,8.1,5.8,Bay of Bengal
7,2023-01-07,-53.03,147.934,1000,-1.02,32.25,2675.8,4.23,8.15,5.05,Indian Ocean
8,2023-01-08,43.941,116.113,1000,6.25,33.72,4004.7,4.35,8.39,4.59,Indian Ocean
9,2023-01-09,12.134,161.928,10,12.8,34.32,1284.0,6.53,8.08,3.1,Indian Ocean
10,2023-01-10,24.969,81.259,50,25.78,34.39,1320.7,7.51,8.13,4.43,Bay of Bengal
11,2023-01-11,-57.53,40.829,10,21.27,36.13,2419.1,7.71,7.66,4.22,Pacific Ocean
12,2023-01-12,56.389,-29.433,200,21.77,39.43,4766.9,5.46,7.97,3.48,Bay of Bengal
13,2023-01-13,39.893,155.782,100,11.62,32.41,3674.3,4.14,8.22,4.97,Arabian Sea
14,2023-01-14,-34.519,131.783,50,9.07,31.22,3714.7,6.73,7.77,5.91,Bay of Bengal
15,2023-01-15,-38.181,-163.721,10,9.87,31.97,2447.7,3.51,7.7,4.69,Arabian Sea
16,2023-01-16,-37.991,-170.508,500,29.6,38.87,3374.6,5.38,7.81,5.14,Pacific Ocean
17,2023-01-17,-23.491,-44.473,50,-0.72,36.46,1040.5,4.15,7.74,3.21,Indian Ocean
18,2023-01-18,2.971,111.799,50,25.75,32.86,3544.4,5.94,7.71,4.25,Indian Ocean
19,2023-01-19,-8.167,175.419,10,16.52,38.16,4653.1,3.44,7.92,3.35,Bay of Bengal
20,2023-01-20,-25.053,-125.85,50,12.04,38.61,3450.3,3.15,8.41,4.84,Indian Ocean
21,2023-01-21,13.422,33.887,500,21.21,38.47,4494.8,7.51,8.01,5.82,Pacific Ocean
22,2023-01-22,-43.261,-42.879,1000,13.57,39.19,3895.9,2.61,7.69,4.99,Indian Ocean
23,2023-01-23,-24.943,169.169,50,25.95,32.52,1482.2,5.04,7.58,3.23,Bay of Bengal
24,2023-01-24,-16.037,123.163,1000,26.82,37.55,4609.8,3.33,8.2,4.06,Pacific Ocean
25,2023-01-25,-5.272,121.798,500,11.5,34.61,1265.8,2.23,7.88,4.65,Arabian Sea
26,2023-01-26,34.221,-11.27,10,6.86,38.42,3135.9,2.22,8.32,4.21,Bay of Bengal
27,2023-01-27,-36.039,-30.665,100,16.96,37.28,1568.5,3.05,8.16,5.5,Arabian Sea
28,2023-01-28,1.708,-81.573,50,27.2,37.76,1046.8,7.2,8.3,5.44,Pacific Ocean
29,2023-01-29,11.09,-159.705,100,4.74,36.56,2688.1,3.69,7.77,4.84,Bay of Bengal
30,2023-01-30,-54.426,131.3,500,17.93,31.77,2180.2,7.7,8.19,4.12,Bay of Bengal
31,2023-01-31,12.905,112.644,50,18.21,35.45,2944.0,5.49,7.76,3.77,Pacific Ocean
32,2023-02-01,-39.537,179.898,1000,21.46,39.85,3308.8,4.62,8.44,3.32,Indian Ocean
33,2023-02-02,-52.194,178.789,200,2.21,39.37,1175.0,5.48,8.14,4.06,Bay of Bengal
34,2023-02-03,53.866,19.955,100,20.91,30.43,1492.0,5.1,7.82,4.24,Bay of Bengal
35,2023-02-04,55.876,96.835,50,27.09,31.65,3234.6,6.55,7.77,5.03,Arabian Sea
36,2023-02-05,37.008,160.116,100,3.75,31.32,2372.7,3.69,7.69,4.97,Indian Ocean
37,2023-02-06,-23.446,125.873,50,5.6,37.26,3916.7,4.12,8.19,3.21,Arabian Sea
38,2023-02-07,-48.279,-90.955,10,29.08,38.18,3609.2,7.36,7.72,4.19,Arabian Sea
39,2023-02-08,22.108,-17.804,1000,3.79,32.14,4382.4,7.68,8.1,3.55,Indian Ocean
40,2023-02-09,-7.182,-133.503,100,25.34,35.06,3770.0,7.36,7.76,3.47,Indian Ocean
41,2023-02-10,-45.355,163.458,200,13.75,38.41,2719.7,4.52,8.16,5.48,Pacific Ocean
42,2023-02-11,-0.579,38.223,200,5.91,37.33,3691.9,6.68,8.31,3.13,Indian Ocean
43,2023-02-12,-55.873,-97.689,500,25.86,35.42,2101.5,4.86,8.28,4.26,Bay of Bengal
44,2023-02-13,49.118,61.812,50,12.25,35.9,2225.3,4.99,8.26,3.5,Indian Ocean
45,2023-02-14,-28.946,42.526,100,14.47,35.08,4155.9,3.23,7.69,5.64,Pacific Ocean
46,2023-02-15,19.503,-51.061,500,9.5,32.98,2785.7,5.55,7.59,4.67,Pacific Ocean
47,2023-02-16,-22.595,-139.119,100,16.97,35.65,4193.5,3.12,8.2,3.69,Pacific Ocean
48,2023-02-17,2.408,61.766,50,3.23,36.89,4289.7,3.99,7.87,4.51,Indian Ocean
49,2023-02-18,5.605,7.311,200,10.51,38.73,4430.2,7.13,7.93,5.19,Indian Ocean
50,2023-02-19,-37.817,98.035,10,29.02,36.36,4666.5,3.24,7.53,5.87,Arabian Sea
51,2023-02-20,56.35,7.259,200,6.26,37.61,2723.9,2.43,7.76,3.66,Arabian Sea
52,2023-02-21,33.016,126.785,500,19.02,31.6,2275.5,2.41,7.53,5.66,Bay of Bengal
53,2023-02-22,52.74,18.686,1000,8.41,34.62,3328.8,7.64,8.38,5.8,Arabian Sea
54,2023-02-23,47.379,21.938,10,22.75,30.09,2484.7,5.04,7.74,5.75,Bay of Bengal
55,2023-02-24,11.748,135.595,500,2.19,32.47,3404.3,4.46,8.06,4.91,Pacific Ocean
